,mus_base,mus_l2_3_0,mus_linf_4,mus_linf_8,adv_base,adv_l2_3_0,adv_linf_4,adv_linf_8
75,False,True,False,True,False,True,False,True
76,True,False,False,False,False,False,False,False
77,False,False,False,False,False,False,False,False
78,False,True,True,True,False,False,False,True
79,False,False,True,True,True,False,False,True
80,False,False,False,False,False,True,False,True
81,False,False,False,False,False,True,False,False
82,False,True,True,False,False,False,False,False
83,True,False,False,True,False,False,False,False
84,False,False,False,True,False,False,False,False
85,False,False,False,False,False,True,True,True
86,True,True,True,False,False,False,False,False
87,True,False,False,False,True,False,True,False
88,True,False,True,True,True,True,False,False
89,True,False,False,True,False,False,False,False
90,False,False,False,True,False,False,True,False
91,False,False,True,False,False,False,False,True
92,False,False,False,False,True,False,False,False
93,False,False,True,False,False,False,False,False
94,False,False,False,False,False,True,False,False
95,False,False,False,False,True,False,False,False
96,False,True,False,True,False,False,False,False
97,False,False,False,False,False,False,False,False
98,False,False,True,False,False,False,False,False
99,False,False,False,False,False,True,False,False
100,True,False,False,True,False,False,False,False
101,True,False,True,True,False,False,False,False
102,False,False,False,False,False,False,False,False
103,False,False,False,True,False,True,True,False
104,True,False,False,False,False,False,False,False
105,False,False,False,False,False,False,False,False
106,False,False,False,False,False,False,False,False
107,False,True,False,True,False,False,False,False
108,False,True,False,True,True,False,False,False
109,False,True,True,False,False,True,False,False
110,False,True,False,False,False,False,False,False
111,True,False,True,False,True,False,False,False
112,True,True,False,False,False,False,False,False
113,True,True,True,True,False,False,False,False
114,True,True,False,False,False,True,True,True
115,True,False,True,False,False,False,False,False
116,False,False,False,False,False,False,False,False
117,False,True,True,False,False,False,False,False
118,True,False,False,True,False,False,False,False
119,True,True,True,True,False,False,False,False
120,False,False,False,False,False,False,False,False
121,False,True,False,False,False,False,False,False
122,False,False,False,False,False,False,False,False
123,True,True,True,True,False,False,True,True
124,False,True,True,True,True,False,False,False
125,False,True,False,False,False,False,True,False
126,False,False,False,False,False,False,False,False
127,True,True,True,True,False,False,False,True
128,True,False,False,True,True,True,True,True
129,True,True,True,True,False,False,False,False
130,False,True,False,True,False,True,True,True
131,True,False,True,False,False,False,False,False
132,False,True,True,True,True,False,False,True
133,False,False,False,False,True,False,False,True
134,False,True,False,False,False,False,False,False
135,False,True,False,True,False,False,False,True
136,False,False,False,False,True,False,False,False
137,False,True,True,False,False,False,False,True
138,False,False,False,False,False,False,False,False
139,False,False,False,True,False,False,False,False
140,True,True,True,True,True,False,False,False
141,False,True,True,False,True,False,False,True
142,False,False,False,True,False,True,True,True
143,True,True,True,False,False,False,False,False
144,True,False,False,False,False,False,False,False
145,True,False,True,True,False,False,False,False
146,False,False,False,True,False,False,False,False
147,False,False,False,True,False,False,True,False
148,True,False,False,True,False,False,False,False
149,True,True,True,True,False,False,False,False
150,True,False,False,True,False,False,False,False
151,False,True,True,True,False,False,False,False
152,False,True,False,False,False,False,False,False
153,True,False,False,False,False,False,False,False
154,True,True,True,False,False,False,False,True
155,True,False,True,True,False,False,False,True
156,True,True,False,True,False,False,False,True
157,True,True,True,True,False,True,True,False
158,False,False,True,False,False,False,False,False
159,False,False,False,True,False,False,False,False
160,False,False,False,True,False,False,False,False
161,True,True,True,False,False,False,False,False
162,False,True,False,False,False,False,False,False
163,False,False,False,True,False,False,True,False
164,False,False,False,False,False,False,True,False
165,False,False,False,False,False,False,False,False
166,False,True,True,False,False,True,True,False
167,True,True,False,True,False,False,False,False
168,False,False,True,False,False,False,False,False
169,False,False,False,False,False,True,False,True
170,False,False,False,True,False,False,False,False
171,False,True,True,False,False,True,True,True
172,False,False,False,False,False,False,True,False
173,False,False,False,False,True,False,False,False
174,False,True,False,False,False,False,True,True
175,False,True,False,True,False,False,False,False
176,False,True,True,False,True,False,False,False
177,False,True,True,True,False,False,True,False
178,False,True,False,True,False,False,False,False
179,True,True,True,True,False,False,False,False
180,True,True,False,False,False,False,False,False
181,True,False,True,False,True,False,True,False
182,False,True,True,True,True,False,False,False
183,True,True,False,True,False,True,True,True
184,False,False,False,True,False,False,False,False
185,True,True,True,True,True,False,False,True
186,False,True,True,False,False,False,False,False
187,False,False,False,True,False,False,False,True
188,True,False,False,False,False,False,False,False
189,False,False,False,True,True,False,False,False
190,False,False,False,False,False,False,False,False
191,False,False,False,True,False,False,False,False
192,False,False,False,False,False,False,False,False
193,True,False,True,False,True,True,False,True
194,False,True,False,False,True,False,True,False
195,True,False,False,True,False,False,False,False
196,True,False,False,False,False,False,False,False
197,True,True,False,False,False,False,False,False
198,False,False,False,True,True,True,True,False
199,False,True,False,True,False,False,False,False
200,False,False,True,True,False,False,False,False
201,False,True,False,True,False,True,False,False
202,True,True,True,False,False,False,False,True
203,False,True,True,True,False,True,True,True
204,False,True,True,False,False,False,False,False
205,False,False,False,False,False,False,True,False
206,False,False,False,False,True,False,False,False
207,False,True,False,False,False,False,False,False
208,True,True,False,False,False,False,False,False
209,False,True,True,False,False,False,False,True
210,True,False,True,True,False,False,False,True
211,True,True,True,False,False,False,False,False
212,False,False,False,False,False,True,False,False
213,True,True,False,True,False,False,True,False
214,False,False,False,False,True,False,False,False
215,False,False,True,False,False,False,False,False
216,True,False,True,True,False,False,False,True
217,False,True,True,False,True,False,True,True
218,False,True,True,True,True,False,False,False
219,False,False,False,False,False,True,False,False
220,False,False,False,False,False,False,False,False
221,False,False,False,False,False,False,False,False
222,False,True,False,True,True,False,False,False
223,False,False,False,False,False,False,False,False
224,True,True,True,True,False,False,False,False
225,True,False,False,False,True,False,False,True
226,False,True,False,True,False,False,True,True
227,False,False,False,False,False,False,False,False
228,False,True,False,False,False,False,False,False
229,True,False,False,False,True,False,False,False
230,False,True,False,False,True,False,False,False
231,False,False,True,False,False,True,True,False
232,False,False,False,False,False,False,False,False
233,True,False,False,True,False,False,False,False
234,True,False,False,False,True,False,False,False
235,True,True,False,False,False,False,False,False
236,False,True,True,True,False,False,False,False
237,False,True,False,True,False,False,True,True
238,False,False,False,True,False,True,False,False
239,True,False,False,True,False,False,False,False
240,True,True,False,True,False,False,False,False
241,False,False,False,False,False,False,False,False
242,False,True,True,False,True,False,False,False
243,False,True,True,True,True,True,False,True
244,False,False,False,False,False,False,False,False
245,False,False,False,False,False,False,False,False
246,False,True,True,False,True,False,False,False
247,False,True,False,True,True,False,False,False
248,False,True,True,True,True,False,False,True
249,False,True,True,False,False,True,False,True
